drug1,drug2,side_effect,PRR
meprobamate,phenobarbital,Malnutrition,50.0
varenicline,iron,Flatulence,50.0
diazepam,nitrous oxide,Post procedural complication,50.0
folic acid,donepezil,Excoriation,50.0
quinapril,gatifloxacin,Hypoglycaemia,50.0
prednisolone,floxacillin,Pulmonary oedema,50.0
levothyroxine,anakinra,Atrial fibrillation,50.0
lisinopril,sulindac,Ejection fraction decreased,50.0
dexlansoprazole,prednisone,Vitamin D deficiency,50.0
nicorandil,bumetanide,Arrhythmia,50.0
nystatin,thiamine,Hypotension,50.0
insulin detemir,potassium chloride,Hypercholesterolaemia,50.0
bumetanide,tamsulosin,Ischaemic cardiomyopathy,50.0
lercanidipine,mirtazapine,Hyperthermia,50.0
sulfamethoxazole,benztropine,Economic problem,50.0
prasugrel,isosorbide,Angina pectoris,50.0
calcium carbonate,gadolinium,Anhedonia,50.0
lercanidipine,torsemide,Hyperkalaemia,50.0
folic acid,alfuzosin,Hepatic necrosis,50.0
ribavirin,methocarbamol,Anaemia,50.0
lidocaine,granisetron,Osteonecrosis of jaw,50.0
formoterol,calcium,Bronchitis chronic,50.0
nicorandil,haloperidol,Confusional state,50.0
bromocriptine,atenolol,Tremor,50.0
fluticasone,cefuroxime,Hiatus hernia,50.0
domperidone,bromazepam,Leukoencephalopathy,50.0
nystatin,darunavir,Renal failure acute,50.0
dutasteride,desloratadine,Interstitial lung disease,50.0
escitalopram,eculizumab,Haematocrit decreased,50.0
buspirone,gemfibrozil,Diabetes mellitus inadequate control,50.0
trimethoprim,rotigotine,Drug interaction,50.0
fluoxetine,"estrogens, conjugated (usp)",Meniscus lesion,50.0
pentoxifylline,"estrogens, conjugated (usp)",Gastrooesophageal reflux disease,50.0
simeprevir,allopurinol,White blood cell count decreased,50.0
triamcinolone,tegaserod,Chest pain,50.0
thiamylal,sevoflurane,Anaesthetic complication,50.0
rabeprazole,allopurinol,Gastric cancer,50.0
tramadol,zinc,Restlessness,50.0
flunisolide,methylprednisolone,Chronic obstructive pulmonary disease,50.0
ritonavir,elvitegravir,Pneumonia,50.0
aliskiren,anastrozole,Cholestasis,50.0
olmesartan,methyldopa,Premature baby,50.0
telmisartan,ziprasidone,Type 2 diabetes mellitus,50.0
bupropion,silymarin,Dry mouth,50.0
amoxicillin,carbocysteine,Stevens-Johnson syndrome,50.0
oxycodone,hydralazine,Dialysis,50.0
benserazide,dexamethasone,Pneumonia,50.0
iron,peginterferon alfa-2b,Decreased appetite,50.0
fluoxetine,orphenadrine,Extrapyramidal disorder,50.0
furosemide,hydroquinone,Pleural effusion,50.0
buprenorphine,linezolid,Pancytopenia,50.0
medroxyprogesterone,albuterol,Mass,50.0
diphenhydramine,ruxolitinib,Thrombocytopenia,50.0
"albumin human, usp",cyclophosphamide,Renal impairment,50.0
bisoprolol,peginterferon alfa-2a,Pleural effusion,50.0
telaprevir,buspirone,Anorectal discomfort,50.0
methotrexate,placebo,Basal cell carcinoma,50.0
amlodipine,anagrelide,Erosive oesophagitis,50.0
triazolam,metoprolol,Intervertebral disc protrusion,50.0
betaxolol,sulfamethoxazole,Pancytopenia,50.0
spironolactone,calcitriol,Aplasia pure red cell,50.0
carboplatin,indomethacin,Dehydration,50.0
meloxicam,cefuroxime,Deep vein thrombosis,50.0
chondroitin sulfates,calcium,Intervertebral disc degeneration,50.0
venlafaxine,guanfacine,Completed suicide,50.0
pramoxine,esomeprazole,Supraventricular extrasystoles,50.0
dexmedetomidine,cefuroxime,Stress,50.0
allopurinol,tilidine,Urinary tract infection,50.0
dapsone,clofazimine,Haemolytic anaemia,50.0
tizanidine,theophylline,Chronic obstructive pulmonary disease,50.0
leuprolide,pregabalin,Endometriosis,50.0
duloxetine,piroxicam,Musculoskeletal pain,50.0
benzonatate,verapamil,Bronchitis,50.0
tetrazepam,clorazepate,Drug exposure during pregnancy,50.0
cefpodoxime,magnesium oxide,White blood cell count decreased,50.0
drospirenone,diltiazem,Emotional distress,50.0
cyclizine,levothyroxine,Wheezing,50.0
salmeterol,glucosamine,Sleep apnoea syndrome,50.0
atracurium,glycopyrrolate,Metabolic acidosis,50.0
calcium carbonate,ursodeoxycholate,Encephalitis,50.0
glyburide,nabumetone,Cellulitis,50.0
enoxaparin,benztropine,Diabetes mellitus,50.0
budesonide,olopatadine,Irritability,50.0
lapatinib,everolimus,Pleural effusion,50.0
naltrexone,mirtazapine,Pancreatitis,50.0
leuprolide,filgrastim,Pancytopenia,50.0
norfloxacin,lorazepam,Urinary tract infection,50.0
carisoprodol,captopril,Pleural effusion,50.0
metolazone,indomethacin,Dehydration,50.0
valacyclovir,metaxalone,Neuropathy peripheral,50.0
sufentanil,ciprofloxacin,Dermatitis bullous,50.0
ergocalciferol,vitamin d,Sleep talking,50.0
imatinib,iron,Dyspepsia,50.0
oxaliplatin,naproxen,Intestinal perforation,50.0
rilmenidine,mianserin,Renal failure acute,50.0
pioglitazone,placebo,Cellulitis,50.0
ferrous sulfate,cyclosporine,Kidney transplant rejection,50.0
albuterol,interferon beta-1a,Clostridial infection,50.0
erlotinib,prednisone,Lung cancer metastatic,50.0
oxymorphone,pregabalin,Unresponsive to stimuli,50.0
valsartan,zolpidem,Echocardiogram abnormal,50.0
fluoxetine,etonogestrel,Ectopic pregnancy,50.0
azithromycin,erlotinib,Haemoglobin decreased,50.0
cyclosporine,fluvastatin,Hypercholesterolaemia,50.0
nebivolol,vincristine,Thrombocytopenia,50.0
brotizolam,epinastine,Pancytopenia,50.0
tazobactam,doxycycline,Septic shock,50.0
lactobacillus,carvedilol,Cardiac failure congestive,50.0
lactobacillus casei rhamnosus,lansoprazole,Drug eruption,50.0
sulbactam,trimethoprim,Platelet count decreased,50.0
doxazosin,leucovorin,Interstitial lung disease,50.0
trimetazidine,piracetam,Hypothyroidism,50.0
diphenoxylate,hydroxychloroquine,Tricuspid valve incompetence,50.0
albuterol,magnesium sulfate,Tricuspid valve incompetence,50.0
metronidazole,cinacalcet,Tachycardia,50.0
clavulanate,mannitol,Unevaluable event,50.0
medroxyprogesterone,bupropion,Cholecystitis,50.0
danazol,darbepoetin alfa,Haemoglobin decreased,50.0
acetaminophen,afatinib,Malignant neoplasm progression,50.0
terbinafine,celecoxib,Osteoarthritis,50.0
prazosin,spironolactone,Neuroleptic malignant syndrome,50.0
fenofibrate,dexlansoprazole,Hypertension,50.0
galantamine,oxazepam,Hyperthermia,50.0
fluindione,acetylcysteine,International normalised ratio increased,50.0
lorazepam,esmolol,Renal impairment,50.0
everolimus,pravastatin,C-reactive protein increased,50.0
acetaminophen,minoxidil,Gastrointestinal haemorrhage,50.0
lorazepam,desloratadine,Hepatotoxicity,50.0
magnesium,levalbuterol,Back pain,50.0
"albumin human, usp",ketorolac,Injury,50.0
donepezil,dexamethasone,Depressed level of consciousness,50.0
nitrofurantoin,mometasone,Neck pain,50.0
levodopa,captopril,Parkinsonism,50.0
opium,megestrol,Dehydration,50.0
econazole,levofloxacin,Premature baby,50.0
furosemide,zinc oxide,Pulmonary oedema,50.0
tamoxifen,triamcinolone,Neck pain,50.0
glipizide,oxybutynin,"Hallucination, auditory",50.0
enalapril,trandolapril,Blood potassium decreased,50.0
vitamin d3,chondroitin sulfates,Bronchitis,50.0
ibuprofen,naloxone,Bone pain,50.0
chlorpheniramine,trazodone,Type 2 diabetes mellitus,50.0
tramadol,hydroxyurea,Haemoglobin decreased,50.0
valacyclovir,calcium,Haemorrhoids,50.0
pentoxifylline,venlafaxine,Coronary artery disease,50.0
terazosin,diltiazem,Spinal osteoarthritis,50.0
loratadine,zaleplon,Hypertension,50.0
hydralazine,placebo,Cardiac failure congestive,50.0
cimetidine,aluminum hydroxide,Osteoarthritis,50.0
scopolamine,sulfamethoxazole,Febrile neutropenia,50.0
meropenem,amikacin,Blood culture positive,50.0
"insulin, isophane",trimethoprim,Hyperkalaemia,50.0
escitalopram,atenolol,Sinus arrest,50.0
mesalamine,tiotropium,Endocarditis,50.0
fluconazole,sunitinib,Toxic epidermal necrolysis,50.0
trastuzumab,penicillin,Anxiety,50.0
cephalexin,indomethacin,Mental disorder,50.0
potassium citrate,dipyrone,Toxic epidermal necrolysis,50.0
polyethylene glycol 3350,butalbital,Bone pain,50.0
epoetin alfa,azacitidine,Myelodysplastic syndrome,50.0
tazobactam,zolpidem,Coagulopathy,50.0
fluindione,glimepiride,Shock,50.0
propofol,promethazine,Cholecystitis chronic,50.0
candesartan,vincristine,Partial seizures,50.0
diclofenac,esomeprazole,Colitis microscopic,50.0
omeprazole,brotizolam,Lymphocyte count decreased,50.0
melphalan,ceftazidime,Acute myeloid leukaemia,50.0
cyclobenzaprine,standardized senna concentrate,Mental status changes,50.0
salmeterol,acyclovir,Mouth ulceration,50.0
orphenadrine,loratadine,White blood cell count decreased,50.0
vitamin d3,trospium,Multiple sclerosis relapse,50.0
calcium acetate,cephalexin,Anhedonia,50.0
atovaquone,tenofovir,Renal failure acute,50.0
povidone-iodine,ursodeoxycholate,Platelet count decreased,50.0
mercaptopurine,amoxicillin,Neutropenia,50.0
loperamide,iron sucrose,Pulmonary hypertension,50.0
urapidil,acyclovir,Dehydration,50.0
gadoversetamide,insulin lispro,General physical health deterioration,50.0
clopidogrel,midodrine,Mobility decreased,50.0
morphine,fosphenytoin,Toxicity to various agents,50.0
lovastatin,irbesartan,Renal failure chronic,50.0
omeprazole,daunorubicin,Acute coronary syndrome,50.0
vitamin b complex,tiotropium,Syncope,50.0
darunavir,gliclazide,Renal failure acute,50.0
polyethylene glycol 3350,dutasteride,Atrial fibrillation,50.0
cefotiam,carvedilol,Myocardial infarction,50.0
dextran 70,cyclosporine,Eye irritation,50.0
gliclazide,cephalexin,Liver function test abnormal,50.0
zidovudine,brotizolam,Aspartate aminotransferase increased,50.0
cephalexin,calcium chloride,Renal injury,50.0
irbesartan,bortezomib,Erythema,50.0
tramadol,clomipramine,Orthostatic hypotension,50.0
imidapril,doxazosin,Shock,50.0
tadalafil,zolpidem,Cardiac murmur,50.0
omeprazole,tigecycline,Agranulocytosis,50.0
vitamin a,hydromorphone,Small intestinal obstruction,50.0
ipratropium,acenocoumarol,Hyperkalaemia,50.0
cortisone,ibandronate,Bone disorder,50.0
meclizine,dopamine,Renal failure,50.0
linezolid,cilastatin,Pancytopenia,50.0
topiramate,primidone,Foot fracture,50.0
valproate,lurasidone,Aggression,50.0
linagliptin,bosentan,Cardiac failure,50.0
calcium carbonate,valsartan,Arteriosclerosis coronary artery,50.0
codeine,cimetidine,Gastrooesophageal reflux disease,50.0
sulpiride,hydroxyzine,Septic shock,50.0
terbinafine,atenolol,Meningitis,50.0
psyllium,docetaxel,Asthenia,50.0
simvastatin,prilocaine,Cardiac failure congestive,50.0
carbocysteine,vincristine,White blood cell count decreased,50.0
metronidazole,linaclotide,Weight increased,50.0
losartan,testosterone,Glycosylated haemoglobin increased,50.0
metaxalone,allopurinol,Bronchitis,50.0
benzonatate,magnesium sulfate,Respiratory failure,50.0
fenofibrate,cephalexin,Rhinitis allergic,50.0
loratadine,epoetin alfa,Haematocrit decreased,50.0
pegaspargase,chlorhexidine,Sepsis,50.0
ramipril,azelastine,Cardiac failure,50.0
peginterferon alfa-2a,alendronate,Neutropenia,50.0
perindopril,trimeprazine,Fall,50.0
diphenoxylate,axitinib,Hypertension,50.0
prochlorperazine,vitamin b6,Gastrooesophageal reflux disease,50.0
tramadol,sodium bicarbonate,Gastritis,50.0
warfarin,mosapride,Liver disorder,50.0
calcium chloride,rofecoxib,Anxiety,50.0
metoprolol,chloroquine,Diabetes mellitus,50.0
capecitabine,pyridoxine,Rectal haemorrhage,50.0
miglitol,nateglinide,Hepatic function abnormal,50.0
rocuronium,insulin lispro,Septic shock,50.0
dipyridamole,gliclazide,Hyponatraemia,50.0
prednisone,omega-3 fatty acids,Vitamin D deficiency,50.0
simvastatin,bamifylline,Blood pressure increased,50.0
immunoglobulin g,hydromorphone,Sinusitis,50.0
topiramate,losartan,Hyperglycaemia,50.0
glipizide,bacitracin,Anxiety,50.0
furosemide,selenium,Pulmonary hypertension,50.0
racecadotril,heparin,Renal failure acute,50.0
calcium,amiodarone,Therapeutic agent toxicity,50.0
butylscopolamine,benzydamine,Urinary retention,50.0
bendroflumethiazide,imipramine,Hypoaesthesia,50.0
irinotecan,glutamine,Lethargy,50.0
enoxaparin,cefotiam,Aspartate aminotransferase increased,50.0
magnesium chloride,amikacin,Sepsis,50.0
candesartan,timolol,Gynaecomastia,50.0
rifaximin,epoetin alfa,Haemoglobin decreased,50.0
olanzapine,dutasteride,Suicide attempt,50.0
glyburide,bortezomib,Multiple myeloma,50.0
chlorpheniramine,cimetidine,Confusional state,50.0
paclitaxel,adalimumab,Pain,50.0
calcium carbonate,dihydrocodeine,Basal cell carcinoma,50.0
ipilimumab,prochlorperazine,Neoplasm malignant,50.0
acetaminophen,sulfur,Pulmonary embolism,50.0
eletriptan,venlafaxine,Serotonin syndrome,50.0
bezafibrate,atenolol,Bradycardia,50.0
pantoprazole,desflurane,Hypotension,50.0
piroxicam,standardized senna concentrate,Toxicity to various agents,50.0
salmeterol,linezolid,Electrocardiogram QT prolonged,50.0
miconazole,ezetimibe,Vomiting,50.0
haloperidol,loxoprofen,Respiratory failure,50.0
tacrolimus,pimecrolimus,Hodgkin's disease,50.0
simvastatin,tolvaptan,Urinary tract infection,50.0
rocuronium,mycophenolate mofetil,Bradycardia,50.0
gentamicin,valproate,Dystonia,50.0
meropenem,rosuvastatin,Rhabdomyolysis,50.0
ascorbic acid,cetirizine,Polyp,50.0
lamotrigine,teriparatide,Injection site haemorrhage,50.0
ascorbic acid,tazobactam,Renal failure acute,50.0
serotonin,trimethoprim,Neutropenia,50.0
capecitabine,enalapril,Metastases to bone,50.0
metronidazole,cefazolin,Coagulopathy,50.0
donepezil,quinine,Bradycardia,50.0
magnesium hydroxide,nifedipine,Balance disorder,50.0
ustekinumab,diltiazem,Psoriasis,50.0
temazepam,vitamin k 2,Weight decreased,50.0
valsartan,vinorelbine,Neutropenia,50.0
moxonidine,fentanyl,Somnolence,50.0
zopiclone,indomethacin,Febrile neutropenia,50.0
benazepril,estropipate,Abdominal pain,50.0
gentamicin,vitamin k 1,Bradycardia,50.0
memantine,bupropion,Dementia,50.0
oxycodone,cisapride,Dehydration,50.0
ascorbic acid,nitroglycerin,Iron deficiency anaemia,50.0
cytarabine,ethambutol,Pyrexia,50.0
bendamustine,tamsulosin,Febrile neutropenia,50.0
dalteparin,doxorubicin,Febrile neutropenia,50.0
guaifenesin,carbidopa,Weight decreased,50.0
metformin,captopril,Orthopnoea,50.0
bivalirudin,sodium chloride,Hypotension,50.0
oxcarbazepine,asenapine,Inappropriate schedule of drug administration,50.0
methadone,pregabalin,Multi-organ disorder,50.0
palonosetron,tamsulosin,Febrile neutropenia,50.0
promethazine,gemfibrozil,Multiple injuries,50.0
roflumilast,mirtazapine,Chronic obstructive pulmonary disease,50.0
botulinum toxin type a,metaxalone,Neck pain,50.0
cyproheptadine,diltiazem,Gastritis,50.0
valsartan,cyclosporine,Gastroenteritis,50.0
ritonavir,ketoprofen,Neutropenia,50.0
cyclophosphamide,ethambutol,Pancytopenia,50.0
nebivolol,piracetam,Multiple sclerosis relapse,50.0
carbamazepine,atomoxetine,Prescribed overdose,50.0
minocycline,zolpidem,Encephalopathy,50.0
ritonavir,amikacin,Hepatic failure,50.0
glipizide,quinine,Gastritis,50.0
captopril,epoetin alfa,Joint range of motion decreased,50.0
bicalutamide,insulin glargine,Vertigo,50.0
furosemide,carbocysteine,Myositis,50.0
vitamin d,nifedipine,Pneumothorax,50.0
phenprocoumon,pravastatin,Prothrombin time prolonged,50.0
famotidine,thiothixene,Diabetes mellitus,50.0
estradiol,vitamin e,Bone density decreased,50.0
enoxaparin,ferrous gluconate,Atrial fibrillation,50.0
sulbactam,atorvastatin,Cellulitis,50.0
midazolam,alteplase,Sepsis,50.0
polyethylene glycol 3350,iron,Economic problem,50.0
pentazocine,tranexamic acid,White blood cell count decreased,50.0
spironolactone,pregabalin,Electrolyte imbalance,50.0
tranexamic acid,clotiazepam,Pyrexia,50.0
haloperidol,ursodeoxycholate,Hepatic function abnormal,50.0
morphine,terbinafine,Anaphylactic reaction,50.0
potassium chloride,peginterferon alfa-2b,Blood potassium decreased,50.0
pentazocine,clarithromycin,Pneumonia,50.0
budesonide,sildenafil,Pulmonary hypertension,50.0
domperidone,interferon beta-1a,Multiple sclerosis relapse,50.0
acenocoumarol,cisplatin,Leukopenia,50.0
risperidone,cyproheptadine,Convulsion,50.0
ipratropium,tadalafil,Chronic obstructive pulmonary disease,50.0
aripiprazole,captopril,Diabetes mellitus,50.0
diphenhydramine,citalopram,Malabsorption,50.0
clavulanate,varenicline,Hypertension,50.0
dipyridamole,enalapril,Splenic rupture,50.0
alprazolam,loxoprofen,Pneumonia aspiration,50.0
atorvastatin,piroxicam,Hypercholesterolaemia,50.0
varenicline,atazanavir,Suicidal ideation,50.0
hyoscyamine,sucralfate,Dyskinesia,50.0
metformin,teriparatide,Wrist fracture,50.0
salmeterol,epoetin alfa,Haematuria,50.0
amantadine,mitoxantrone,Urinary tract infection,50.0
nystatin,plerixafor,Respiratory failure,50.0
ribavirin,modafinil,Anaemia,50.0
isosorbide,iohexol,Emotional distress,50.0
rituximab,ursodeoxycholate,Cholestasis,50.0
codeine,oxybutynin,Hyperkalaemia,50.0
thiothixene,montelukast,Diabetes mellitus,50.0
albendazole,methylprednisolone,Dehydration,50.0
tramadol,benzydamine,Stomatitis,50.0
calcium carbonate,magnesium oxide,Fluid overload,50.0
rabbit anti-human t-lymphocyte globulin,ondansetron,Renal tubular necrosis,50.0
albuterol,vitamin b6,Haemoptysis,50.0
dexamethasone,trimethobenzamide,Neuropathy peripheral,50.0
omega-3 fatty acids,clarithromycin,Myositis,50.0
abatacept,levothyroxine,Wound,50.0
quinapril,tamsulosin,Hyperlipidaemia,50.0
geranylgeranylacetone,bisoprolol,Hepatic function abnormal,50.0
cinacalcet,lorazepam,Renal failure chronic,50.0
pazopanib,potassium chloride,Disease progression,50.0
fexofenadine,mupirocin,Osteoarthritis,50.0
carisoprodol,cetirizine,Vertigo positional,50.0
docusate,clobazam,Convulsion,50.0
sumatriptan,ceftriaxone,Pulmonary embolism,50.0
etidronate,amitriptyline,Splenic infarction,50.0
fluticasone,magnesium oxide,Lymphoedema,50.0
cyclophosphamide,calcitriol,Thrombocytopenia,50.0
activated charcoal,olmesartan,Hyperkalaemia,50.0
lactobacillus acidophilus,vancomycin,Staphylococcal infection,50.0
terbutaline,potassium chloride,Haematoma,50.0
calcium carbonate,diphenhydramine,Oesophagitis,50.0
trimethoprim,sildenafil,Cellulitis,50.0
cefotaxime,"albumin human, usp",Renal failure,50.0
tobramycin,vincristine,Convulsion,50.0
cycloserine,pyridoxine,Completed suicide,50.0
topiramate,doxepin,Respiratory arrest,50.0
oil of garlic,diltiazem,Cardiac failure congestive,50.0
oxazepam,acamprosate,Cytolytic hepatitis,50.0
glucose,midazolam,Shock,50.0
albuterol,sulpiride,Lower respiratory tract infection,50.0
losartan,memantine,Dementia,50.0
emtricitabine,methylprednisolone,Toxicity to various agents,50.0
albuterol,caspofungin,Respiratory failure,50.0
epinephrine,abciximab,Thrombocytopenia,50.0
sulfasalazine,diltiazem,Arrhythmia,50.0
tizanidine,paroxetine,Decubitus ulcer,50.0
doxercalciferol,gadolinium,Injury,50.0
efavirenz,terizidone,Neuropathy peripheral,50.0
pentazocine,theophylline,Hepatic function abnormal,50.0
metronidazole,quinine,Osteoarthritis,50.0
vitamin d,azacitidine,Sepsis,50.0
tobramycin,gentamicin,Renal failure acute,50.0
sucralfate,vitamin b 12,Angiopathy,50.0
cortisone,cetirizine,Osteoporosis,50.0
meclizine,gemfibrozil,Vertigo,50.0
ketoprofen,sodium chloride,Febrile neutropenia,50.0
dopamine,levalbuterol,Sepsis,50.0
prasugrel,ramipril,Drug prescribing error,50.0
minoxidil,gadoteridol,Pain,50.0
buprenorphine,varenicline,Mouth ulceration,50.0
carbidopa,rofecoxib,Transient ischaemic attack,50.0
bromhexine,carbocysteine,Interstitial lung disease,50.0
cholecalciferol,azathioprine,Hypomagnesaemia,50.0
lovastatin,sevelamer,Peritonitis,50.0
cephalexin,trimethobenzamide,Dyskinesia,50.0
hydralazine,trazodone,Acute respiratory failure,50.0
